,,,,,,,Length class (mb),,,,,Length class (kb),,,,,,
Lismo-M-2111192,NSW,NorthernRivers,SEQLD_FNNSW,3228,870823,269.77,1692,948,477,108,3,870823.47,276472.68,52945.52,0.28,0.28,0.09,0.02
Lismo-M-2111271,NSW,NorthernRivers,SEQLD_FNNSW,2421,531315,219.46,1571,592,217,40,1,531315.30,107988.54,20937.08,0.17,0.17,0.04,0.01
Lismo-M-2112021,NSW,NorthernRivers,SEQLD_FNNSW,2126,517141,243.25,1339,491,224,66,6,517140.66,152979.74,46879.75,0.17,0.17,0.05,0.02
Lismore-F-M50298,NSW,NorthernRivers,SEQLD_FNNSW,2496,595801,238.70,1511,645,287,52,1,595801.38,158041.10,26656.51,0.19,0.19,0.05,0.01
Lismore-F-M50309,NSW,NorthernRivers,SEQLD_FNNSW,2329,529970,227.55,1456,617,204,48,4,529969.57,121452.65,30485.99,0.17,0.17,0.04,0.01
Lismore-F-M50310,NSW,NorthernRivers,SEQLD_FNNSW,2151,458085,212.96,1442,495,180,34,0,457985.05,93686.54,20101.32,0.15,0.15,0.03,0.01
Lismore-F-M50336,NSW,NorthernRivers,SEQLD_FNNSW,3083,836731,271.40,1679,835,450,111,8,836731.13,284631.02,71453.97,0.27,0.27,0.09,0.02
Lismore-F-M50340,NSW,NorthernRivers,SEQLD_FNNSW,2483,568789,229.07,1587,597,246,49,4,568789.28,138126.15,36246.11,0.19,0.19,0.04,0.01
Lismore-F-M50369,NSW,NorthernRivers,SEQLD_FNNSW,2139,508385,237.67,1372,490,213,59,5,508385.38,146913.42,37907.75,0.17,0.17,0.05,0.01
Lismore-F-M50510,NSW,NorthernRivers,SEQLD_FNNSW,3056,804453,263.24,1660,873,434,85,4,804452.61,253654.69,55738.36,0.26,0.26,0.08,0.02
Lismore-F-M50535,NSW,NorthernRivers,SEQLD_FNNSW,3768,1060000,281.79,1891,1142,582,147,6,1061768.47,370581.92,91566.25,0.35,0.35,0.12,0.03
Lismore-M-M50352,NSW,NorthernRivers,SEQLD_FNNSW,3094,835656,270.09,1659,872,459,96,8,835656.21,277765.82,65768.36,0.27,0.27,0.09,0.02
Lismore-M-M50397,NSW,NorthernRivers,SEQLD_FNNSW,3223,919028,285.15,1674,902,501,133,13,919028.37,341352.22,104493.39,0.30,0.30,0.11,0.03
Lismore-U-M50295,NSW,NorthernRivers,SEQLD_FNNSW,2728,693203,254.11,1569,743,327,85,4,693202.81,210192.79,49232.96,0.23,0.23,0.07,0.02
M47687_001,NSW,Inverell,SEQLD_FNNSW,2935,754228,256.98,1606,833,434,59,3,754228.48,220842.54,35381.00,0.25,0.25,0.07,0.01
M49026_001,NSW,Broadwater,SEQLD_FNNSW,2415,562974,233.12,1549,547,266,52,1,562974.18,152457.85,25836.33,0.18,0.18,0.05,0.01
M50294_001,NSW,SouthernClarence,SEQLD_FNNSW,2412,542227,224.80,1520,615,237,37,3,542226.78,114393.60,23293.17,0.18,0.18,0.04,0.01
M50306_001,NSW,ByronBay,SEQLD_FNNSW,2436,528737,217.05,1594,586,227,28,1,528737.28,100284.13,14448.04,0.17,0.17,0.03,0.00
M50344_001,NSW,SouthernClarence,SEQLD_FNNSW,1862,363468,195.20,1332,390,124,15,1,363467.99,57391.53,1840.50,0.12,0.12,0.02,0.00
M50355_001,NSW,WestKyogle,SEQLD_FNNSW,2112,496667,235.16,1329,502,232,48,1,496666.88,131342.28,27726.60,0.16,0.16,0.04,0.01
M50359_001,NSW,SouthernClarence,SEQLD_FNNSW,1781,348438,195.64,1290,346,125,20,0,348438.20,56291.99,7071.09,0.11,0.11,0.02,0.00
M50370_001,NSW,ByronBay,SEQLD_FNNSW,3229,797016,246.83,1876,883,389,81,0,797015.71,213782.55,38801.59,0.26,0.26,0.07,0.01
M50373_001,NSW,ByronBay,SEQLD_FNNSW,2220,474730,213.84,1480,520,185,35,0,474730.17,95499.10,11723.11,0.15,0.15,0.03,0.00
M50374_001,NSW,WestKyogle,SEQLD_FNNSW,2630,587136,223.25,1640,698,264,28,0,587136.25,122454.24,12900.83,0.19,0.19,0.04,0.00
M50383_001,NSW,Broadwater,SEQLD_FNNSW,2632,459274,174.50,1986,563,80,3,0,459273.98,21540.45,1013.15,0.15,0.15,0.01,0.00
M50392_001,NSW,ByronBay,SEQLD_FNNSW,3114,550116,176.66,2335,664,110,4,0,550116.20,31539.03,0.00,0.18,0.18,0.01,0.00
M50393_001,NSW,ByronBay,SEQLD_FNNSW,3831,997515,260.38,2053,1146,536,94,2,997515.22,289481.48,48467.61,0.32,0.32,0.09,0.02
M50395_001,NSW,Broadwater,SEQLD_FNNSW,2889,740250,256.23,1649,777,371,88,4,740249.83,229089.03,50688.51,0.24,0.24,0.07,0.02
Narrandra-F-N1,NSW,Narrandera,SEQLD_FNNSW,2788,813681,291.85,1461,732,444,142,9,813681.50,329749.54,94127.13,0.26,0.26,0.11,0.03
Narrandra-F-N12,NSW,Narrandera,SEQLD_FNNSW,3532,944892,267.52,1739,1173,541,78,1,944892.31,255607.92,35001.29,0.31,0.31,0.08,0.01
Narrandra-F-N13,NSW,Narrandera,SEQLD_FNNSW,2749,727513,264.65,1556,712,380,94,7,727512.64,248546.93,67248.93,0.24,0.24,0.08,0.02
Narrandra-F-N14,NSW,Narrandera,SEQLD_FNNSW,2373,559738,235.88,1440,641,235,55,2,559737.81,138463.75,36282.06,0.18,0.18,0.05,0.01
Narrandra-F-N17,NSW,Narrandera,SEQLD_FNNSW,2758,773445,280.44,1464,759,408,123,4,773445.32,284492.43,79095.00,0.25,0.25,0.09,0.03
Narrandra-F-N2,NSW,Narrandera,SEQLD_FNNSW,2274,607652,267.22,1315,556,298,101,4,607651.75,224131.54,59551.84,0.20,0.20,0.07,0.02
Narrandra-M-N11,NSW,Narrandera,SEQLD_FNNSW,2976,745380,250.46,1712,810,380,72,2,745379.80,214248.44,40418.93,0.24,0.24,0.07,0.01
Narrandra-M-N16,NSW,Narrandera,SEQLD_FNNSW,2925,816091,279.01,1613,734,441,131,6,816090.76,312780.76,76131.02,0.27,0.27,0.10,0.02
Narrandra-M-N3,NSW,Narrandera,SEQLD_FNNSW,2435,694095,285.05,1323,623,361,120,8,694094.92,277450.09,83285.55,0.23,0.23,0.09,0.03
Narrandra-M-N6,NSW,Narrandera,SEQLD_FNNSW,3796,907174,238.98,2215,1098,412,68,3,907174.30,210240.50,39094.23,0.30,0.30,0.07,0.01
Narrandra-M-N7,NSW,Narrandera,SEQLD_FNNSW,2538,646398,254.69,1483,646,321,84,4,646398.24,208523.85,38688.66,0.21,0.21,0.07,0.01
Narrandra-M-N8,NSW,Narrandera,SEQLD_FNNSW,2746,705255,256.83,1569,729,359,85,4,705255.29,212677.63,50675.41,0.23,0.23,0.07,0.02
Narrandra-M-N9,NSW,Narrandera,SEQLD_FNNSW,2314,625964,270.51,1281,607,335,85,6,625964.42,216370.52,64390.56,0.20,0.20,0.07,0.02
NRiv-F-M50347,NSW,Broadwater,SEQLD_FNNSW,3043,830483,272.92,1620,861,434,128,0,830483.45,286309.94,69569.46,0.27,0.27,0.09,0.02
NRiv-F-M50350,NSW,WestKyogle,SEQLD_FNNSW,658,99783,151.65,556,97,5,0,0,99782.48,1038.67,0.00,0.03,0.03,0.00,0.00
NRiv-F-M50379,NSW,NorthernRivers,SEQLD_FNNSW,1937,406206,209.71,1325,425,161,25,1,406206.09,80109.55,9735.61,0.13,0.13,0.03,0.00
NRiv-F-M50411,NSW,NorthernRivers,SEQLD_FNNSW,2783,713224,256.28,1564,791,343,80,5,713224.45,211652.74,55527.29,0.23,0.23,0.07,0.02
NRiv-F-M50451,NSW,NorthernRivers,SEQLD_FNNSW,2003,400436,199.92,1421,419,143,19,1,400436.16,64506.66,8149.04,0.13,0.13,0.02,0.00
NRiv-F-M50467,NSW,NorthernRivers,SEQLD_FNNSW,2987,804446,269.32,1629,838,407,106,7,804446.16,275874.17,69310.96,0.26,0.26,0.09,0.02
NRiv-F-M50517,NSW,NorthernRivers,SEQLD_FNNSW,3873,1170000,302.06,1847,1179,636,192,19,1169883.88,460452.88,137729.94,0.38,0.38,0.15,0.04
NRiv-F-M50531,NSW,ByronBay,SEQLD_FNNSW,2234,493501,220.91,1451,543,199,41,0,493501.44,108757.90,19400.56,0.16,0.16,0.04,0.01
NRiv-M-M50329,NSW,Broadwater,SEQLD_FNNSW,3068,854956,278.67,1649,817,478,116,8,854955.94,315299.20,86258.38,0.28,0.28,0.10,0.03
NRiv-M-M50450,NSW,Broadwater,SEQLD_FNNSW,2563,730488,285.01,1413,625,387,131,7,730488.11,292819.27,95935.70,0.24,0.24,0.10,0.03
NRiv-M-M50511,NSW,NorthernRivers,SEQLD_FNNSW,3874,1160000,299.18,1865,1168,635,194,12,1159033.86,447376.44,118230.54,0.38,0.38,0.15,0.04
NthBurn-F-80750,QLD,NorthBurnett,SEQLD_FNNSW,2301,542870,235.93,1484,522,222,69,4,542869.89,151737.18,37789.52,0.18,0.18,0.05,0.01
Redland-M-63768,QLD,Redland,SEQLD_FNNSW,4022,678113,168.60,3092,853,76,1,0,678112.68,11352.36,0.00,0.22,0.22,0.00,0.00
Redland-M-71818,QLD,Redland,SEQLD_FNNSW,3701,1080000,292.28,1806,1106,619,162,8,1081628.99,404148.82,90673.97,0.35,0.35,0.13,0.03
Redland-M-83962,QLD,Redland,SEQLD_FNNSW,4249,1400000,329.25,1839,1292,831,265,22,1398866.83,627884.37,188734.08,0.46,0.46,0.20,0.06
SClarence-F-M50437,NSW,SouthernClarence,SEQLD_FNNSW,1666,322786,193.75,1238,301,108,18,1,322786.03,56711.47,11246.96,0.11,0.11,0.02,0.00
SDowns-F-62050,QLD,SouthernDowns,SEQLD_FNNSW,1747,335430,192.00,1285,327,122,13,0,335429.68,53047.92,5755.34,0.11,0.11,0.02,0.00
Tenter-M-61949,NSW,Tenterfield,SEQLD_FNNSW,1594,313595,196.74,1187,277,104,25,1,313595.13,58803.49,12712.09,0.10,0.10,0.02,0.00
Tweed-Heads-F-M50445,NSW,TweedCoast,SEQLD_FNNSW,3266,939393,287.63,1642,952,528,133,11,939392.90,347445.56,96441.35,0.31,0.31,0.11,0.03
Tweed-Heads-M-53390,NSW,TweedCoast,SEQLD_FNNSW,4150,1140000,273.58,2120,1275,608,140,7,1135359.51,362355.18,72601.47,0.37,0.37,0.12,0.02
Tweed-Heads-M-57043,NSW,TweedCoast,SEQLD_FNNSW,2584,614453,237.79,1575,657,288,64,0,614452.77,157999.71,30721.24,0.20,0.20,0.05,0.01
COtway-F-Y32,VIC,CapeOtway,VIC,6522,1640000,251.80,3699,1852,797,170,4,1642217.97,465075.03,82957.04,0.53,0.53,0.15,0.03
COtway-F-Y37,VIC,CapeOtway,VIC,6465,1670000,258.02,3677,1738,860,176,14,1668070.83,510361.51,107426.44,0.54,0.54,0.17,0.03
COtway-F-Y49,VIC,CapeOtway,VIC,6545,1590000,242.94,3844,1799,759,138,5,1589911.19,409301.56,70344.79,0.52,0.52,0.13,0.02
COtway-F-Y60,VIC,CapeOtway,VIC,6279,1600000,254.71,3621,1667,811,167,13,1599338.72,469737.84,102851.23,0.52,0.52,0.15,0.03
COtway-M-Y40,VIC,CapeOtway,VIC,6335,1550000,245.42,3799,1601,773,157,5,1554733.46,428021.33,84670.00,0.50,0.51,0.14,0.03
F_SAWS13_HDS,VIC,Highlands,VIC,6649,1530000,230.39,4020,1828,702,96,3,1531831.64,319266.83,51690.12,0.50,0.50,0.10,0.02
F_SAWS31_SHGLD,VIC,SouthGippsland,VIC,6426,1420000,220.84,4062,1728,558,76,2,1419128.26,269992.23,37858.10,0.46,0.46,0.09,0.01
F-SAWS03-SHBS,VIC,Strathbogies,VIC,6677,1420000,212.08,4302,1811,502,62,0,1416056.83,208305.21,23235.76,0.46,0.46,0.07,0.01
F-SAWS04-SHBS,VIC,Strathbogies,VIC,5195,811632,156.23,4327,821,47,0,0,811631.69,7025.91,0.00,0.26,0.26,0.00,0.00
F-SAWS10-SHBS,VIC,Strathbogies,VIC,6297,1350000,213.81,4052,1682,505,57,1,1346335.22,217112.10,23197.53,0.44,0.44,0.07,0.01
F-SAWS21-FRIS,VIC,FrenchsIsland,VIC,6630,1510000,227.68,4052,1837,647,91,3,1509501.13,309505.62,45868.29,0.49,0.49,0.10,0.01
F-SAWS23-SHGLD,VIC,SouthGippsland,VIC,6180,1290000,209.10,4104,1553,470,52,1,1292223.28,202268.53,18635.83,0.42,0.42,0.07,0.01
Gelantipy-F-K11,VIC,Gelantipy,VIC,6668,1720000,258.29,3753,1826,895,188,6,1722207.00,516398.78,122367.29,0.56,0.56,0.17,0.04
Gelantipy-F-K13,VIC,Gelantipy,VIC,6569,1720000,261.26,3663,1799,909,184,14,1716245.54,535837.97,122321.45,0.56,0.56,0.17,0.04
Gelantipy-F-K15,VIC,Gelantipy,VIC,6608,1660000,250.67,3801,1810,813,175,9,1656445.54,455242.74,99355.54,0.54,0.54,0.15,0.03
Gelantipy-F-K16,VIC,Gelantipy,VIC,6692,1810000,270.06,3618,1853,992,220,9,1807252.28,608034.56,137629.09,0.59,0.59,0.20,0.04
Gelantipy-F-K17,VIC,Gelantipy,VIC,6552,1760000,268.54,3571,1804,949,217,11,1759500.44,570010.94,127224.04,0.57,0.57,0.19,0.04
Gelantipy-F-K18,VIC,Gelantipy,VIC,6600,1770000,268.56,3539,1918,917,213,13,1772521.18,566012.89,145137.62,0.58,0.58,0.18,0.05
Gelantipy-F-K20,VIC,Gelantipy,VIC,6712,1780000,264.50,3617,1967,926,195,7,1775308.92,540186.64,126178.43,0.58,0.58,0.18,0.04
Gelantipy-M-K12,VIC,Gelantipy,VIC,6637,1730000,259.96,3634,1749,799,170,7,1725326.34,523984.41,114943.61,0.56,0.56,0.17,0.04
Gelantipy-M-K14,VIC,Gelantipy,VIC,6782,1770000,261.58,3735,1796,904,191,11,1774037.91,542970.45,115663.56,0.58,0.58,0.18,0.04
Gelantipy-M-K19,VIC,Gelantipy,VIC,6572,1800000,273.28,3726,1905,943,199,9,1796013.17,591848.30,140141.56,0.59,0.58,0.19,0.05
Gelantipy-M-K5,VIC,Gelantipy,VIC,6359,1610000,253.39,3427,1953,966,213,13,1611316.17,464828.86,102087.17,0.52,0.52,0.15,0.03
Gipps-F-SAWS29,VIC,SouthGippsland,VIC,6501,1290000,198.99,4379,1681,420,21,0,1293635.40,129547.51,3126.14,0.42,0.42,0.04,0.00
Gipps-F-SAWS41,VIC,SouthGippsland,VIC,6261,1380000,220.13,4005,1615,560,79,2,1378224.65,277400.46,42398.05,0.45,0.45,0.09,0.01
Gipps-F-SAWS45,VIC,SouthGippsland,VIC,6359,1290000,202.86,4192,1716,427,24,0,1289968.96,154486.29,5428.26,0.42,0.42,0.05,0.00
Gipps-F-SAWS63,VIC,SouthGippsland,VIC,6223,1320000,211.39,4112,1546,502,63,0,1315476.82,217178.39,24133.54,0.43,0.43,0.07,0.01
Gipps-F-SAWS66,VIC,SouthGippsland,VIC,6128,1380000,224.62,3912,1532,590,88,6,1376385.13,298851.37,47595.52,0.45,0.45,0.10,0.02
Gipps-F-SAWS67,VIC,SouthGippsland,VIC,6115,1380000,225.10,3881,1555,580,95,4,1376511.75,296066.10,52862.36,0.45,0.45,0.10,0.02
Gipps-F-SAWS69,VIC,SouthGippsland,VIC,6711,1550000,231.28,4017,1883,719,91,1,1552112.63,326417.02,41683.54,0.50,0.51,0.11,0.01
Gipps-F-SAWS71,VIC,SouthGippsland,VIC,6044,1320000,219.05,3902,1522,534,83,3,1323910.12,251577.25,44161.69,0.43,0.43,0.08,0.01
Gipps-F-SAWS72,VIC,SouthGippsland,VIC,6214,1340000,215.73,4087,1519,535,73,0,1340558.82,257376.19,34815.85,0.44,0.44,0.08,0.01
Gipps-M-SAWS34,VIC,SouthGippsland,VIC,6381,1370000,215.11,4145,1627,551,58,0,1372636.27,242493.04,33241.46,0.45,0.45,0.08,0.01
Gipps-M-SAWS42,VIC,SouthGippsland,VIC,6246,1340000,214.71,4044,1606,522,74,0,1341079.52,229324.48,21445.70,0.44,0.44,0.07,0.01
Gipps-M-SAWS43,VIC,SouthGippsland,VIC,6309,1240000,196.68,4354,1546,384,25,0,1240836.73,132123.66,6639.26,0.40,0.40,0.04,0.00
Gipps-M-SAWS64,VIC,SouthGippsland,VIC,6219,1370000,219.79,3972,1623,537,86,0,1366878.37,265403.72,36276.35,0.45,0.44,0.09,0.01
Gipps-M-SAWS70,VIC,SouthGippsland,VIC,6215,1380000,222.27,4002,1540,577,95,1,1381412.81,288023.10,36537.55,0.45,0.45,0.09,0.01
Gipps-M-SAWS84,VIC,SouthGippsland,VIC,6120,1360000,222.52,3952,1539,516,109,4,1361846.65,297438.25,55408.73,0.44,0.44,0.10,0.02
M_Matt_Monaro,NSW,SouthernTablelands,VIC,3630,794498,218.87,2480,764,311,70,5,794398.35,199404.00,41633.14,0.26,0.26,0.06,0.01
M_SAWS01_HDS,VIC,Highlands,VIC,5301,1240000,234.70,3250,1418,519,107,7,1244145.68,313982.25,69616.67,0.40,0.41,0.10,0.02
M_SAWS05_SHBS,VIC,Strathbogies,VIC,6221,1400000,224.53,3922,1594,613,88,4,1396802.17,296240.97,48994.72,0.46,0.45,0.10,0.02
M_SAWS17_SHGLD,VIC,SouthGippsland,VIC,6181,1310000,211.72,4026,1584,527,44,0,1308629.21,205999.36,18558.36,0.43,0.43,0.07,0.01
M_SAWS27_SHGLD,VIC,SouthGippsland,VIC,6100,1310000,215.30,3954,1574,500,72,0,1313354.51,244415.05,35873.57,0.43,0.43,0.08,0.01
Mallacoota-U-Abigail,VIC,Mallacoota,VIC,6564,1660000,253.01,3752,1787,834,184,7,1660726.25,486538.21,98069.96,0.54,0.54,0.16,0.03
Mallacoota-U-Annie,VIC,Mallacoota,VIC,6754,1900000,280.87,3527,1917,1035,254,21,1896961.51,666749.17,166227.43,0.62,0.62,0.22,0.05
Mallacoota-U-Blinky,VIC,Mallacoota,VIC,6737,1850000,274.81,3567,1917,1005,230,18,1851387.53,634708.76,156064.16,0.60,0.60,0.21,0.05
Mallacoota-U-Frankie,VIC,Mallacoota,VIC,6465,1630000,252.34,3720,1781,787,160,17,1631296.81,468983.85,107627.80,0.53,0.53,0.15,0.04
Mallacoota-U-Solo,VIC,Mallacoota,VIC,6482,1570000,241.49,3851,1723,779,126,3,1565232.28,411840.56,72936.21,0.51,0.51,0.13,0.02
Mallacoota-U-Trip,VIC,Mallacoota,VIC,6401,1610000,251.75,3696,1725,808,161,11,1611324.47,467333.78,118318.78,0.52,0.52,0.15,0.04
Mallacoota-U-Vicky,VIC,Mallacoota,VIC,6456,1680000,259.77,3662,1738,847,202,7,1677095.82,524606.90,123383.48,0.55,0.55,0.17,0.04
M-SAWS09-HDS,VIC,Highlands,VIC,6427,1220000,189.51,4462,1656,299,10,0,1218000.32,77393.47,3870.21,0.40,0.40,0.03,0.00
M-SAWS12-HDS,VIC,Highlands,VIC,6495,1440000,221.59,4129,1691,585,86,4,1439220.67,279013.87,40728.30,0.47,0.47,0.09,0.01
M-SAWS22-FRIS,VIC,FrenchsIsland,VIC,6628,1490000,224.38,4140,1769,622,93,4,1487219.60,293510.28,52701.07,0.49,0.48,0.10,0.02
M-SAWS24-SHBS,VIC,Strathbogies,VIC,6388,1370000,214.94,4093,1690,547,56,2,1373045.84,226486.08,20902.37,0.45,0.45,0.07,0.01
M-SAWS32-SHBS,VIC,Strathbogies,VIC,6566,1450000,220.20,4120,1764,606,74,2,1445832.20,267989.81,30426.23,0.47,0.47,0.09,0.01
M-SAWS33-SHGLD,VIC,SouthGippsland,VIC,6375,1350000,211.45,4140,1683,497,53,2,1347964.07,214109.25,21800.77,0.44,0.44,0.07,0.01
M-SAWS37-SHBS,VIC,Strathbogies,VIC,6371,1380000,217.13,4079,1633,606,53,0,1383314.14,249065.30,20640.97,0.45,0.45,0.08,0.01
MurRiv-F-F6,VIC,Cobram,VIC,6346,1620000,255.83,3644,1688,826,172,16,1623525.34,487301.78,109197.93,0.53,0.53,0.16,0.04
MurRiv-F-F8,VIC,Cobram,VIC,6443,1690000,261.53,3663,1709,852,206,13,1685014.91,544448.02,135991.03,0.55,0.55,0.18,0.04
MurRiv-F-FA,VIC,Cobram,VIC,6491,1640000,252.26,3777,1728,806,169,11,1637410.81,476614.14,104680.18,0.53,0.53,0.16,0.03
MurRiv-M-MR001,VIC,Cobram,VIC,6482,1660000,255.62,3716,1703,883,172,8,1656924.69,505016.76,96625.87,0.54,0.54,0.16,0.03
MurRiv-M-MR002,VIC,Cobram,VIC,6373,1570000,246.69,3814,1631,755,166,7,1572169.58,455698.86,102424.36,0.51,0.51,0.15,0.03
MurRiv-M-MR003,VIC,Cobram,VIC,6426,1600000,249.29,3784,1688,775,166,13,1601929.91,461423.91,89134.58,0.52,0.52,0.15,0.03
MurRiv-M-MR005,VIC,Cobram,VIC,6321,1550000,244.71,3736,1683,746,150,6,1546796.24,432373.94,93642.17,0.50,0.50,0.14,0.03
MurRiv-M-MR006,VIC,Cobram,VIC,6387,1610000,251.99,3702,1707,798,172,7,1609457.91,474395.46,96496.12,0.52,0.52,0.15,0.03
MurRiv-M-MR007,VIC,Cobram,VIC,6572,1650000,250.55,3838,1737,821,164,11,1646482.16,466851.54,100099.82,0.54,0.54,0.15,0.03
MurRiv-M-MR008,VIC,Cobram,VIC,6486,1620000,249.49,3777,1755,780,165,9,1618177.48,457045.02,117340.86,0.53,0.53,0.15,0.04
MurRiv-M-MR009,VIC,Cobram,VIC,6566,1680000,255.73,3776,1788,797,189,16,1679144.16,516526.91,133479.48,0.55,0.55,0.17,0.04
MurRiv-M-MR010,VIC,Cobram,VIC,6357,1620000,255.56,3689,1691,775,189,13,1624567.42,497574.51,120077.90,0.53,0.53,0.16,0.04
Narrandra-F-N18,NSW,Narrandera,VIC,2462,450092,182.82,1814,526,116,6,0,450091.73,41427.03,2148.77,0.15,0.15,0.01,0.00
Narrandra-F-N5,NSW,Narrandera,VIC,3249,814478,250.69,1896,863,407,80,3,814477.58,228715.22,47393.00,0.27,0.27,0.07,0.02
Narrandra-M-N15,NSW,Narrandera,VIC,3410,918225,269.27,1827,981,481,111,10,918225.36,307415.67,73450.46,0.30,0.30,0.10,0.02
Narran-M-45930,NSW,Narrandera,VIC,2792,805105,288.36,1431,798,425,131,7,805104.58,309180.50,91798.16,0.26,0.26,0.10,0.03
SWVic-F-Z73845,VIC,SouthWestVIC,VIC,6237,1450000,231.74,3884,1565,666,120,2,1445358.42,345049.44,56349.86,0.47,0.47,0.11,0.02
SWVic-F-Z73848,VIC,SouthWestVIC,VIC,6285,1530000,244.08,3754,1657,712,156,6,1534039.36,409802.61,101664.82,0.50,0.50,0.13,0.03
SWVic-M-Z73841,VIC,SouthWestVIC,VIC,6442,1500000,233.12,3903,1742,685,109,3,1501735.15,346389.49,47612.64,0.49,0.49,0.11,0.02
SWVic-M-Z73856,VIC,SouthWestVIC,VIC,6453,1600000,248.22,3758,1755,768,163,9,1601733.40,437093.20,88312.04,0.52,0.52,0.14,0.03
